ID,Name,Category,Subcategory,Difficulty,Price,SalePrice,ShortDescription
cmn5fe7sy000004l7vqb4sdoc,FLOW VISSTA XC,VALJAAT,Kanoottivaljaat,,2950,,FLOWm valmistama kisavaljas
cmn5es8sn000004i8azuu2agl,FLOW XCRACER 2,VARJOLIITIMET,EN-D Varjoliitimet,,4550,,2-linjainen kisakone Flowlta
cmn5e8np4000004l1nzp8bo5d,FLOW RPM2,VARJOLIITIMET,Paramoottori Varjoliitimet,,4035,,Tehokas Full Reflex siipi mottilentämiseen
cmn5dj4ai000004jx8y4eoe7n,SYRIDE SOLAR,MITTARIT,,,120,,Puhelimen paras kaveri ilmassa
cmn5d7he4000004jsskobt54m,SYRIDE GPS V4,MITTARIT,,,350,,Uudistettu Syride GPS V4
cmn5cuj02000004jra4bd7iv9,SYRIDE ALT V4,MITTARIT,,,200,,Pieni ja ketterä perusvario
cmn438cms000004kykoqh7x9n,FLOW MULLET 2,VARJOLIITIMET,Parakite Varjoliitimet,,3450,,Flow julkaisi uuden MULLET version
cmmsvk5vy000004ji7uuxq5fj,SUPAIR DELIGHT 5,VALJAAT,Kanoottivaljaat,,2140,,SubAir huippu XC-kanootit
cmmpwzu82000004l8v8jv8k0t,U-TURN MORPHEUS NG,VARJOLIITIMET,EN-D Varjoliitimet,,2998,,Legendan paluu acroliidin joka on leimattu D-luokkaan
cmmpw769s000004jibvfkq38g,U-TURN BLACKOUT +,VARJOLIITIMET,Acro Varjoliitimet,,2650,,Acropilotin märkä päiväuni
cmmpvlzdg000004jj07xundyq,U-TURN EMOTION 4,VARJOLIITIMET,EN-A Varjoliitimet,,3450,2995,Acropilotin A-luokkalainen
cmmonvmcv000004k4clj5uakm,U-TURN BACK UP ULTIMATE,PELASTUSVARJOT,Kevyt pelastusvarjot,,995,,Ultimaattisen kevyt pelastuvarjo  120kg malli 1.1kg
cmmon30pi000004jpntyla471,AIRDESIGN BOXR,VALJAAT,Avovaljaat,,1350,,AIrDesign värikkäät avovaljaat
cmmom0aej000104l2kzvs4rjw,PHI EXACT,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Reput,,185,,Rucksack by PHI
cmmoljfqy000004l26se5qa37,PHI CARBIO,VALJAAT,Avovaljaat,,1165,,Passiivisella suojapanssarilla varustettu avovaljas
cmmol4r5n000004l8tehk1yfr,PHI ACCEL,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,135,,PHI:ltä käytännöllinen ruusupussi
cmmoiqgnz000004jlt1ttf1v0,NVOLO CARBON HELMET,KYPÄRÄT,Paramoottori kypärät,,795,,NVOLO suosittu paramoottorikypärä
cmmofu9qn000004ky0ywacofj,NVOLO GOGLES,KYPÄRÄT,Paramoottori kypärät,,80,,Suojalasit Nvolon kypärämalleihin
cmmoepe25000004ktcw1anlmj,SKY SKYLIGHTER 4,VALJAAT,Kanoottivaljaat,,1395,,Skyltä kanoottivaljaat
cmmoe00ak000004jou5mmnkzs,AIRDESIGN RONIN-BI,VARJOLIITIMET,Tandem Varjoliitimet,,4595,,Single skin tandem 2.6kg
cmmng99ki000004kyr3n16q44,SKY CRUX CORE,VALJAAT,Parakite valjaat,,550,,Sky:ltä parakite ja minisiipi kikkailuun
